dataSource,scientificName,taxonRank,basisOfRecord,family,genus,species,date,year,dataset_id,dayOfYear,latitude,longitude,verbatimTrait,trait,annotationID,mappedTraits
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2014-10-15,2014,-9999,288,45.045544,-93.283005,Open flowers (1),open flower present,npn:4680983,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2014-10-22,2014,-9999,295,45.045544,-93.283005,Open flowers (1),open flower present,npn:4681119,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2017-05-23,2017,-9999,143,41.745537,-74.119392,Open flowers (1),open flower present,npn:10927457,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2017-05-23,2017,-9999,143,38.119434,-80.267242,Open flowers (1),open flower present,npn:10908813,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2017-05-25,2017,-9999,145,38.119434,-80.267242,Open flowers (1),open flower present,npn:10929885,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2017-05-30,2017,-9999,150,38.119434,-80.267242,Open flowers (1),open flower present,npn:10968250,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2017-06-02,2017,-9999,153,38.119434,-80.267242,Open flowers (1),open flower present,npn:10999415,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2017-06-07,2017,-9999,158,38.119434,-80.267242,Open flowers (1),open flower present,npn:11093161,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2017-06-09,2017,-9999,160,38.119434,-80.267242,Open flowers (1),open flower present,npn:11093207,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2017-06-12,2017,-9999,163,38.119434,-80.267242,Open flowers (1),open flower present,npn:11093253,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2017-06-26,2017,-9999,177,38.119434,-80.267242,Open flowers (1),open flower present,npn:11201127,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2017-06-26,2017,-9999,177,40.616676,-73.827202,Open flowers (1),open flower present,npn:11880663,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2017-07-01,2017,3,182,38.856335,-77.234962,Open flowers (1),open flower present,npn:11250743,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2017-07-03,2017,-9999,184,40.616676,-73.827202,Open flowers (1),open flower present,npn:11880728,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2017-07-03,2017,-9999,184,40.616524,-73.82502,Open flowers (1),open flower present,npn:11875014,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-06-17,2016,-9999,169,40.86039,-73.878471,Open flowers (1),open flower present,npn:8143274,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-06-30,2016,3,182,40.86039,-73.878471,Open flowers (1),open flower present,npn:8228950,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-08-26,2016,-9999,239,42.275463,-73.59787,Open flowers (1),open flower present,npn:8529656,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-08-28,2016,-9999,241,40.616524,-73.82502,Open flowers (1),open flower present,npn:8652670,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-08-30,2016,-9999,243,42.275463,-73.59787,Open flowers (1),open flower present,npn:8631590,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-06,2016,-9999,250,40.616524,-73.82502,Open flowers (1),open flower present,npn:8653082,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-07,2016,-9999,251,42.275463,-73.59787,Open flowers (1),open flower present,npn:8631786,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-10,2016,-9999,254,42.275463,-73.59787,Open flowers (1),open flower present,npn:9305219,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-12,2016,-9999,256,40.616524,-73.82502,Open flowers (1),open flower present,npn:8653183,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-14,2016,-9999,258,41.745537,-74.119392,Open flowers (1),open flower present,npn:8689933,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-14,2016,-9999,258,41.745537,-74.119392,Open flowers (1),open flower present,npn:8957414,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-14,2016,-9999,258,41.745537,-74.119392,Open flowers (1),open flower present,npn:8681063,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-15,2016,-9999,259,41.433689,-81.693153,Open flowers (1),open flower present,npn:8725314,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-16,2016,-9999,260,41.745537,-74.119392,Open flowers (1),open flower present,npn:8964404,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-16,2016,-9999,260,42.275463,-73.59787,Open flowers (1),open flower present,npn:9305410,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-17,2016,-9999,261,40.616524,-73.82502,Open flowers (1),open flower present,npn:8746351,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-17,2016,-9999,261,40.616524,-73.82502,Open flowers (1),open flower present,npn:8746358,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-20,2016,-9999,264,40.616524,-73.82502,Open flowers (1),open flower present,npn:8746478,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-21,2016,-9999,265,41.745537,-74.119392,Open flowers (1),open flower present,npn:8964674,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-09-21,2016,-9999,265,40.86039,-73.878471,Open flowers (1),open flower present,npn:8766939,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-09-21,2016,3,265,40.86039,-73.878471,Open flowers (1),open flower present,npn:8726560,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-21,2016,-9999,265,42.275463,-73.59787,Open flowers (1),open flower present,npn:9305667,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-22,2016,-9999,266,41.433689,-81.693153,Open flowers (1),open flower present,npn:9117070,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-23,2016,-9999,267,40.616524,-73.82502,Open flowers (1),open flower present,npn:8746598,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-09-23,2016,-9999,267,40.616524,-73.82502,Open flowers (1),open flower present,npn:8746612,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-09-23,2016,-9999,267,40.616524,-73.82502,Open flowers (1),open flower present,npn:8746619,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-25,2016,-9999,269,42.275463,-73.59787,Open flowers (1),open flower present,npn:9305863,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-09-26,2016,-9999,270,40.86039,-73.878471,Open flowers (1),open flower present,npn:8767018,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-09-26,2016,-9999,270,40.616524,-73.82502,Open flowers (1),open flower present,npn:8972686,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-09-26,2016,-9999,270,40.616524,-73.82502,Open flowers (1),open flower present,npn:8972693,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-26,2016,-9999,270,40.616524,-73.82502,Open flowers (1),open flower present,npn:8972672,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-28,2016,-9999,272,41.745537,-74.119392,Open flowers (1),open flower present,npn:8957617,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-28,2016,-9999,272,41.745537,-74.119392,Open flowers (1),open flower present,npn:9041558,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2016-09-29,2016,-9999,273,41.433689,-81.693153,Open flowers (1),open flower present,npn:9117124,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-09-29,2016,3,273,40.86039,-73.878471,Open flowers (1),open flower present,npn:8933800,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-11-01,2016,-9999,306,40.616524,-73.82502,Open flowers (1),open flower present,npn:9197739,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-11-01,2016,-9999,306,40.616524,-73.82502,Open flowers (1),open flower present,npn:9197746,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-11-02,2016,3,307,40.86039,-73.878471,Open flowers (1),open flower present,npn:10626155,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum ericoides,species,Human Observation,Asteraceae,Symphyotrichum,ericoides,2016-11-04,2016,3,309,40.86039,-73.878471,Open flowers (1),open flower present,npn:9230525,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-06-30,2015,-9999,181,42.166935,-71.98687,Open flowers (1),open flower present,npn:6086265,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-07-10,2015,-9999,191,42.166935,-71.98687,Open flowers (1),open flower present,npn:6086214,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-07-27,2015,-9999,208,42.166935,-71.98687,Open flowers (1),open flower present,npn:6086163,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-08-28,2015,-9999,240,40.616524,-73.82502,Open flowers (1),open flower present,npn:6267075,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-08-31,2015,-9999,243,45.045544,-93.283005,Open flowers (1),open flower present,npn:6915889,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-03,2015,-9999,246,40.616524,-73.82502,Open flowers (1),open flower present,npn:6267012,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-04,2015,-9999,247,45.045544,-93.283005,Open flowers (1),open flower present,npn:6916022,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-15,2015,-9999,258,41.724197,-74.075989,Open flowers (1),open flower present,npn:6332727,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-17,2015,-9999,260,41.724197,-74.075989,Open flowers (1),open flower present,npn:6418110,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-18,2015,-9999,261,45.045544,-93.283005,Open flowers (1),open flower present,npn:9112275,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-19,2015,-9999,262,41.745537,-74.119392,Open flowers (1),open flower present,npn:6358766,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-19,2015,-9999,262,41.745537,-74.119392,Open flowers (1),open flower present,npn:6359737,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-19,2015,-9999,262,41.745537,-74.119392,Open flowers (1),open flower present,npn:6359949,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-19,2015,-9999,262,41.745537,-74.119392,Open flowers (1),open flower present,npn:6373585,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-19,2015,-9999,262,41.745537,-74.119392,Open flowers (1),open flower present,npn:7138582,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-22,2015,-9999,265,41.745537,-74.119392,Open flowers (1),open flower present,npn:6951320,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-23,2015,-9999,266,45.045544,-93.283005,Open flowers (1),open flower present,npn:9112544,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-24,2015,-9999,267,41.724197,-74.075989,Open flowers (1),open flower present,npn:6418269,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-24,2015,17,267,39.077858,-76.77179,Open flowers (1),open flower present,npn:24414363,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-24,2015,-9999,267,41.433689,-81.693153,Open flowers (1),open flower present,npn:6834739,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-25,2015,-9999,268,41.745537,-74.119392,Open flowers (1),open flower present,npn:6385003,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-28,2015,-9999,271,41.745537,-74.119392,Open flowers (1),open flower present,npn:6445201,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-28,2015,-9999,271,41.745537,-74.119392,Open flowers (1),open flower present,npn:6445208,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-28,2015,-9999,271,41.724197,-74.075989,Open flowers (1),open flower present,npn:6504881,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-09-29,2015,-9999,272,41.745537,-74.119392,Open flowers (1),open flower present,npn:6951528,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-10-01,2015,-9999,274,41.433689,-81.693153,Open flowers (1),open flower present,npn:6834778,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-10-02,2015,-9999,275,41.724197,-74.075989,Open flowers (1),open flower present,npn:6505040,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-10-06,2015,-9999,279,41.745537,-74.119392,Open flowers (1),open flower present,npn:6951754,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-10-09,2015,17,282,39.077858,-76.77179,Open flowers (1),open flower present,npn:24414364,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-10-09,2015,-9999,282,40.616524,-73.82502,Open flowers (1),open flower present,npn:6486537,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-10-09,2015,-9999,282,40.616524,-73.82502,Open flowers (1),open flower present,npn:6486544,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
National Phenology Network,Symphyotrichum novae-angliae,species,Human Observation,Asteraceae,Symphyotrichum,novae-angliae,2015-10-11,2015,-9999,284,41.745537,-74.119392,Open flowers (1),open flower present,npn:6486406,"open flower present,non-senesced flower present,flower present,reproductive shoot system present,reproductive structure present,plant structure present"
